# Dimensionless graviational wave background energy density Omega_GW(f)
# f [Hz]                   Omega_GW(f)
5.000000000000000104e-04   1.000000000000000082e-05
5.064979267434890908e-04   1.000000000000000082e-05
5.130802995909052120e-04   1.000000000000000082e-05
5.197482159914434789e-04   1.000000000000000082e-05
5.265027876565860944e-04   1.000000000000000082e-05
5.333451407454566952e-04   1.000000000000000082e-05
5.402764160525764126e-04   1.000000000000000082e-05
5.472977691980649177e-04   1.000000000000000082e-05
5.544103708203130133e-04   1.000000000000000082e-05
5.616154067711544209e-04   1.000000000000000082e-05
5.689140783135820814e-04   1.000000000000000082e-05
5.763076023220246912e-04   1.000000000000000082e-05
5.837972114852328035e-04   1.000000000000000082e-05
5.913841545118013856e-04   1.000000000000000082e-05
5.990696963383566930e-04   1.000000000000000082e-05
6.068551183404585292e-04   1.000000000000000082e-05
6.147417185462339352e-04   1.000000000000000082e-05
6.227308118527933754e-04   1.000000000000000082e-05
6.308237302454593447e-04   1.000000000000000082e-05
6.390218230198377531e-04   1.000000000000000082e-05
6.473264570067853224e-04   1.000000000000000082e-05
6.557390168002902352e-04   1.000000000000000082e-05
6.642609049883213285e-04   1.000000000000000082e-05
6.728935423866770583e-04   1.000000000000000082e-05
6.816383682758674111e-04   1.000000000000000082e-05
6.904968406410835150e-04   1.000000000000000082e-05
6.994704364152764175e-04   1.000000000000000082e-05
7.085606517254014079e-04   1.000000000000000082e-05
7.177690021418625796e-04   1.000000000000000082e-05
7.270970229311920011e-04   1.000000000000000082e-05
7.365462693120238859e-04   1.000000000000000082e-05
7.461183167143833851e-04   1.000000000000000082e-05
7.558147610423535372e-04   1.000000000000000082e-05
7.656372189401555034e-04   1.000000000000000082e-05
7.755873280616784084e-04   1.000000000000000082e-05
7.856667473435249242e-04   1.000000000000000082e-05
7.958771572815921116e-04   1.000000000000000082e-05
8.062202602112556078e-04   1.000000000000000082e-05
8.166977805911946730e-04   1.000000000000000082e-05
8.273114652908981036e-04   1.000000000000000082e-05
8.380630838819150882e-04   1.000000000000000082e-05
8.489544289328896038e-04   1.000000000000000082e-05
8.599873163084218288e-04   1.000000000000000082e-05
8.711635854718257450e-04   1.000000000000000082e-05
8.824850997918081905e-04   1.000000000000000082e-05
8.939537468531430888e-04   1.000000000000000082e-05
9.055714387713817296e-04   1.000000000000000082e-05
9.173401125116458291e-04   1.000000000000000082e-05
9.292617302115752532e-04   1.000000000000000082e-05
9.413382795084608698e-04   1.000000000000000082e-05
9.535717738706360382e-04   1.000000000000000082e-05
9.659642529331767188e-04   1.000000000000000082e-05
9.785177828379536778e-04   1.000000000000000082e-05
9.912344565781185373e-04   1.000000000000000082e-05
1.004116394347052401e-03   1.000000000000000082e-05
1.017165743891858482e-03   1.000000000000000082e-05
1.030384680871450223e-03   1.000000000000000082e-05
1.043775409219281332e-03   1.000000000000000082e-05
1.057340161510805961e-03   1.000000000000000082e-05
1.071081199335698324e-03   1.000000000000000082e-05
1.085000813674920871e-03   1.000000000000000082e-05
1.099101325282692389e-03   1.000000000000000082e-05
1.113385085073408760e-03   1.000000000000000082e-05
1.127854474513609578e-03   1.000000000000000082e-05
1.142511906019021443e-03   1.000000000000000082e-05
1.157359823356771599e-03   1.000000000000000082e-05
1.172400702052831326e-03   1.000000000000000082e-05
1.187637049804739177e-03   1.000000000000000082e-05
1.203071406899708590e-03   1.000000000000000082e-05
1.218706346638149998e-03   1.000000000000000082e-05
1.234544475762708706e-03   1.000000000000000082e-05
1.250588434892879264e-03   1.000000000000000082e-05
1.266840898965256599e-03   1.000000000000000082e-05
1.283304577679519540e-03   1.000000000000000082e-05
1.299982215950211146e-03   1.000000000000000082e-05
1.316876594364375886e-03   1.000000000000000082e-05
1.333990529645166226e-03   1.000000000000000082e-05
1.351326875121451349e-03   1.000000000000000082e-05
1.368888521203544479e-03   1.000000000000000082e-05
1.386678395865112087e-03   1.000000000000000082e-05
1.404699465131331810e-03   1.000000000000000082e-05
1.422954733573415266e-03   1.000000000000000082e-05
1.441447244809537656e-03   1.000000000000000082e-05
1.460180082012289262e-03   1.000000000000000082e-05
1.479156368422724971e-03   1.000000000000000082e-05
1.498379267871076002e-03   1.000000000000000082e-05
1.517851985304254168e-03   1.000000000000000082e-05
1.537577767320187465e-03   1.000000000000000082e-05
1.557559902709114083e-03   1.000000000000000082e-05
1.577801723001913750e-03   1.000000000000000082e-05
1.598306603025546890e-03   1.000000000000000082e-05
1.619077961465736903e-03   1.000000000000000082e-05
1.640119261436940885e-03   1.000000000000000082e-05
1.661434011059744744e-03   1.000000000000000082e-05
1.683025764045759922e-03   1.000000000000000082e-05
1.704898120290106482e-03   1.000000000000000082e-05
1.727054726471621360e-03   1.000000000000000082e-05
1.749499276660839700e-03   1.000000000000000082e-05
1.772235512935896708e-03   1.000000000000000082e-05
1.795267226006431365e-03   1.000000000000000082e-05
1.818598255845583047e-03   1.000000000000000082e-05
1.842232492330226354e-03   1.000000000000000082e-05
1.866173875889500736e-03   1.000000000000000082e-05
1.890426398161785182e-03   1.000000000000000082e-05
1.914994102660211653e-03   1.000000000000000082e-05
1.939881085446809204e-03   1.000000000000000082e-05
1.965091495815436424e-03   1.000000000000000082e-05
1.990629536983560752e-03   1.000000000000000082e-05
2.016499466793048381e-03   1.000000000000000082e-05
2.042705598420060595e-03   1.000000000000000082e-05
2.069252301094155842e-03   1.000000000000000082e-05
2.096144000826768213e-03   1.000000000000000082e-05
2.123385181149121080e-03   1.000000000000000082e-05
2.150980383859753698e-03   1.000000000000000082e-05
2.178934209781759231e-03   1.000000000000000082e-05
2.207251319529845643e-03   1.000000000000000082e-05
2.235936434287395108e-03   1.000000000000000082e-05
2.264994336593590448e-03   1.000000000000000082e-05
2.294429871140793789e-03   1.000000000000000082e-05
2.324247945582286288e-03   1.000000000000000082e-05
2.354453531350481250e-03   1.000000000000000082e-05
2.385051664485810571e-03   1.000000000000000082e-05
2.416047446476342168e-03   1.000000000000000082e-05
2.447446045108333992e-03   1.000000000000000082e-05
2.479252695327846447e-03   1.000000000000000082e-05
2.511472700113520379e-03   1.000000000000000082e-05
