# Example file: in this file chi(xe) is given.
# format: first line must contain the number of lines
# other lines must contain (xe, chi_heat, chi_lya, chi_ionH, chi_ionHe, chi_lowE (E < 10.2eV))
# blank lines and lines starting with # neglected

18
0.000000 0.151800 0.323526 0.350798 0.024367 0.142202
0.000100 0.151880 0.323526 0.350798 0.024367 0.142202
0.000300 0.174825 0.308840 0.349058 0.023397 0.136233
0.000500 0.188520 0.302591 0.345508 0.023737 0.133317
0.001000 0.210027 0.291280 0.341822 0.023134 0.128324
0.003000 0.258912 0.269481 0.327298 0.023415 0.118130
0.005000 0.289871 0.256105 0.316798 0.023029 0.111856
0.010000 0.338316 0.238304 0.301893 0.021302 0.103617
0.030000 0.458621 0.192119 0.255925 0.018550 0.083760
0.050000 0.531628 0.165741 0.228453 0.016601 0.072038
0.100000 0.654816 0.121705 0.175739 0.012852 0.053388
0.300000 0.849031 0.052273 0.083885 0.007317 0.023016
0.500000 0.923644 0.026168 0.043901 0.004914 0.011310
0.800000 0.975679 0.007178 0.013518 0.003640 0.003117
0.900000 0.987026 0.003234 0.006406 0.003223 0.001417
0.990000 0.995299 0.000290 0.001700 0.002924 0.000118
1.100000 1.000000 0.000000 0.000000 0.000000 0.000000
1.200000 1.000000 0.000000 0.000000 0.000000 0.000000
