# BBN prediction of the primordial abundances of Helium4 as a function of
# 1)the baryon density $\Omega_b h^2$ and 
# 2)the number of extra relativistic degrees of freedom $\Delta N$
#
# $\Delta N=0$ is the number of extra relativistic species (which mimic decoupled neutrinos).
# If $\Delta N=0$, then $N_{eff} = 3.0440$ #
# because of QED effects and Incomplete Neurino decoupling (arXiv:2008.01074).
#
# Computation performed with PArthENoPE v3.0.0
# Details on arXiv:0705.0290, arXiv:1712.04378, and for the most recent version arXiv:2103.05027
#
# Neutron Decay rate $\tau_n$ is 878.4s, following Particle Data Group 2024
# CMB temperature is 2.7255 K (without taking into account a possible uncertainty)
#
# He4 is given as the density ratio of He4 density to all baryon density (YHe) as used by class
# To convert from/to more traditional BBN quantities, note that
# f_He = n_He/n_H = (YHe/m_He)/((1-YHe)/m_H)
# and
# Y_p^BBN = 4 n_He/n_B ~= 4 n_He/(4n_He + n_H) = 4 f_He/(4 f_He + 1)
# Note that this means that YHe from class coincides roughly with Y_p from primat
# which is NOT the same as the Y_p from PArthENoPE (which is instead Y_p^BBN)
#
# Format:
# First line must contain (num_ombh2,num_DeltaN), other lines must
# contain (ombh2,DeltaN,YHe). bBank lines and lines starting with # are neglected

701 13
7.309999999999999658e-03 -3.000000000000000000e+00 1.813310870458047508e-01
7.349999999999999763e-03 -3.000000000000000000e+00 1.813918101718315357e-01
7.380000000000000275e-03 -3.000000000000000000e+00 1.814515378883357344e-01
7.420000000000000380e-03 -3.000000000000000000e+00 1.815112656559736137e-01
7.459999999999999618e-03 -3.000000000000000000e+00 1.815699980106800782e-01
7.490000000000000130e-03 -3.000000000000000000e+00 1.816287304148301029e-01
7.530000000000000235e-03 -3.000000000000000000e+00 1.816864674026967552e-01
7.559999999999999880e-03 -3.000000000000000000e+00 1.817442044383452415e-01
7.599999999999999985e-03 -3.000000000000000000e+00 1.818019415217757007e-01
7.640000000000000090e-03 -3.000000000000000000e+00 1.818586831848037211e-01
7.669999999999999735e-03 -3.000000000000000000e+00 1.819154248939803820e-01
7.709999999999999840e-03 -3.000000000000000000e+00 1.819721666493056278e-01
7.749999999999999944e-03 -3.000000000000000000e+00 1.820279129801805895e-01
7.779999999999999589e-03 -3.000000000000000000e+00 1.820836593555992533e-01
7.820000000000000562e-03 -3.000000000000000000e+00 1.821384103033860113e-01
7.860000000000000667e-03 -3.000000000000000000e+00 1.821931612941399548e-01
7.889999999999999444e-03 -3.000000000000000000e+00 1.822479123278610835e-01
7.929999999999999549e-03 -3.000000000000000000e+00 1.823026634045494532e-01
7.969999999999999654e-03 -3.000000000000000000e+00 1.823564190489188053e-01
8.000000000000000167e-03 -3.000000000000000000e+00 1.824091792586681193e-01
8.040000000000000271e-03 -3.000000000000000000e+00 1.824629349851087379e-01
8.080000000000000376e-03 -3.000000000000000000e+00 1.825156952754095618e-01
8.109999999999999154e-03 -3.000000000000000000e+00 1.825674601273122033e-01
8.149999999999999259e-03 -3.000000000000000000e+00 1.826202204966590470e-01
8.189999999999999364e-03 -3.000000000000000000e+00 1.826719854261164011e-01
8.219999999999999876e-03 -3.000000000000000000e+00 1.827237503939818375e-01
8.259999999999999981e-03 -3.000000000000000000e+00 1.827745199190033420e-01
8.300000000000000086e-03 -3.000000000000000000e+00 1.828252894809700158e-01
8.330000000000000598e-03 -3.000000000000000000e+00 1.828770545625828248e-01
8.370000000000000703e-03 -3.000000000000000000e+00 1.829268287157389816e-01
8.410000000000000808e-03 -3.000000000000000000e+00 1.829766029044058440e-01
8.439999999999999586e-03 -3.000000000000000000e+00 1.830263771285833840e-01
8.479999999999999691e-03 -3.000000000000000000e+00 1.830761513882716573e-01
8.510000000000000203e-03 -3.000000000000000000e+00 1.831249301972186772e-01
8.550000000000000308e-03 -3.000000000000000000e+00 1.831737090402702772e-01
8.590000000000000413e-03 -3.000000000000000000e+00 1.832224879174265131e-01
8.619999999999999191e-03 -3.000000000000000000e+00 1.832712668286874125e-01
8.659999999999999296e-03 -3.000000000000000000e+00 1.833190502850311210e-01
8.699999999999999400e-03 -3.000000000000000000e+00 1.833668337741017063e-01
8.729999999999999913e-03 -3.000000000000000000e+00 1.834146172958992516e-01
8.770000000000000018e-03 -3.000000000000000000e+00 1.834624008504237014e-01
8.810000000000000123e-03 -3.000000000000000000e+00 1.835091889459403436e-01
8.840000000000000635e-03 -3.000000000000000000e+00 1.835559770728345252e-01
8.880000000000000740e-03 -3.000000000000000000e+00 1.836027652311063851e-01
8.920000000000000845e-03 -3.000000000000000000e+00 1.836485579270323854e-01
8.949999999999999623e-03 -3.000000000000000000e+00 1.836943506530150927e-01
8.989999999999999727e-03 -3.000000000000000000e+00 1.837401434090545349e-01
9.029999999999999832e-03 -3.000000000000000000e+00 1.837859361951506565e-01
9.060000000000000345e-03 -3.000000000000000000e+00 1.838307335149806376e-01
9.100000000000000450e-03 -3.000000000000000000e+00 1.838765263605369460e-01
9.140000000000000555e-03 -3.000000000000000000e+00 1.839213237385345368e-01
9.169999999999999332e-03 -3.000000000000000000e+00 1.839651256470558327e-01
9.209999999999999437e-03 -3.000000000000000000e+00 1.840099230819427223e-01
9.249999999999999542e-03 -3.000000000000000000e+00 1.840537250460891616e-01
9.280000000000000054e-03 -3.000000000000000000e+00 1.840975270377357420e-01
9.320000000000000159e-03 -3.000000000000000000e+00 1.841413290568824357e-01
9.360000000000000264e-03 -3.000000000000000000e+00 1.841851311035293259e-01
9.390000000000000777e-03 -3.000000000000000000e+00 1.842279376756857934e-01
9.429999999999999147e-03 -3.000000000000000000e+00 1.842707442741067236e-01
9.459999999999999659e-03 -3.000000000000000000e+00 1.843135508987920612e-01
9.499999999999999764e-03 -3.000000000000000000e+00 1.843563575497418339e-01
9.539999999999999869e-03 -3.000000000000000000e+00 1.843991642269561249e-01
9.570000000000000381e-03 -3.000000000000000000e+00 1.844409754254045519e-01
9.610000000000000486e-03 -3.000000000000000000e+00 1.844827866489101575e-01
9.650000000000000591e-03 -3.000000000000000000e+00 1.845245978974728585e-01
9.679999999999999369e-03 -3.000000000000000000e+00 1.845664091710927657e-01
9.719999999999999474e-03 -3.000000000000000000e+00 1.846072249623673112e-01
9.759999999999999579e-03 -3.000000000000000000e+00 1.846490362855049971e-01
9.790000000000000091e-03 -3.000000000000000000e+00 1.846888566165510726e-01
9.830000000000000196e-03 -3.000000000000000000e+00 1.847306679886100977e-01
9.870000000000000301e-03 -3.000000000000000000e+00 1.847704883662478759e-01
9.900000000000000813e-03 -3.000000000000000000e+00 1.848113042769137793e-01
9.939999999999999183e-03 -3.000000000000000000e+00 1.848511247005752423e-01
9.979999999999999288e-03 -3.000000000000000000e+00 1.848909451469644416e-01
1.000999999999999980e-02 -3.000000000000000000e+00 1.849307656160814606e-01
1.004999999999999991e-02 -3.000000000000000000e+00 1.849705861079261882e-01
1.009000000000000001e-02 -3.000000000000000000e+00 1.850104066224988464e-01
1.012000000000000052e-02 -3.000000000000000000e+00 1.850492316460897457e-01
1.016000000000000063e-02 -3.000000000000000000e+00 1.850880566912863623e-01
1.020000000000000073e-02 -3.000000000000000000e+00 1.851268817580886406e-01
1.022999999999999951e-02 -3.000000000000000000e+00 1.851657068464966083e-01
1.026999999999999962e-02 -3.000000000000000000e+00 1.852045319565103487e-01
1.030999999999999972e-02 -3.000000000000000000e+00 1.852423615716645156e-01
1.034000000000000023e-02 -3.000000000000000000e+00 1.852811867243357169e-01
1.038000000000000034e-02 -3.000000000000000000e+00 1.853190163810536362e-01
1.042000000000000044e-02 -3.000000000000000000e+00 1.853568460582835642e-01
1.044999999999999922e-02 -3.000000000000000000e+00 1.853946757560255565e-01
1.048999999999999932e-02 -3.000000000000000000e+00 1.854315099551153700e-01
1.051999999999999984e-02 -3.000000000000000000e+00 1.854693396933416172e-01
1.055999999999999994e-02 -3.000000000000000000e+00 1.855061739318503156e-01
1.060000000000000005e-02 -3.000000000000000000e+00 1.855430081898057915e-01
1.063000000000000056e-02 -3.000000000000000000e+00 1.855798424672079339e-01
1.067000000000000066e-02 -3.000000000000000000e+00 1.856166767640569093e-01
1.071000000000000077e-02 -3.000000000000000000e+00 1.856535110803525790e-01
