# standard BBN prediction for primordial Helium mass fraction $Y_p$ as
# function of the baryon density $\omega_b h^2$ and number of extra
# radiation degrees of freedom $\Delta N = N_eff-3.046$. Impact of
# chemical potential of electron neutrinos neglected in this version.
#
# Calculated with PArthENoPE v1.2 for a neutron lifetime of 880.2 s,
# identical to standard assumptions of Planck 2017 papers.
#
# Format:
# First line must contain (num_ombh2,num_DeltaN), other lines must
# contain (ombh2,DeltaN,YHe) blank lines and lines starting with #
# neglected

48 11
0.00499 -3.0 0.17643
0.00599 -3.0 0.17896
0.00699 -3.0 0.18091
0.00799 -3.0 0.18251
0.00898 -3.0 0.18384
0.00998 -3.0 0.18502
0.01098 -3.0 0.18604
0.01198 -3.0 0.18694
0.01298 -3.0 0.18778
0.01398 -3.0 0.18852
0.01497 -3.0 0.1892
0.01597 -3.0 0.18984
0.01697 -3.0 0.19044
0.01797 -3.0 0.191
0.01897 -3.0 0.19152
0.01997 -3.0 0.192
0.02021 -3.0 0.19212
0.02046 -3.0 0.19225
0.02071 -3.0 0.19235
0.02096 -3.0 0.19246
0.02121 -3.0 0.19258
0.02146 -3.0 0.19269
0.02171 -3.0 0.1928
0.02196 -3.0 0.19291
0.02221 -3.0 0.19301
0.02246 -3.0 0.19311
0.02271 -3.0 0.19321
0.02296 -3.0 0.19332
0.02321 -3.0 0.19343
0.02346 -3.0 0.19352
0.02371 -3.0 0.19362
0.02396 -3.0 0.19373
0.02496 -3.0 0.1941
0.02595 -3.0 0.19448
0.02695 -3.0 0.19481
0.02795 -3.0 0.19514
0.02895 -3.0 0.19548
0.02995 -3.0 0.19578
0.03094 -3.0 0.19609
0.03194 -3.0 0.19638
0.03294 -3.0 0.19665
0.03394 -3.0 0.19693
0.03494 -3.0 0.19719
0.03594 -3.0 0.19744
0.03693 -3.0 0.19769
0.03793 -3.0 0.19792
0.03893 -3.0 0.19817
0.03993 -3.0 0.19838
0.00499 -2.0 0.19647
0.00599 -2.0 0.1992
0.00699 -2.0 0.20131
0.00799 -2.0 0.203
0.00898 -2.0 0.2044
0.00998 -2.0 0.20562
0.01098 -2.0 0.20669
0.01198 -2.0 0.20763
0.01298 -2.0 0.20848
0.01398 -2.0 0.20923
0.01497 -2.0 0.20995
0.01597 -2.0 0.21061
0.01697 -2.0 0.21122
0.01797 -2.0 0.21177
0.01897 -2.0 0.21229
0.01997 -2.0 0.2128
0.02021 -2.0 0.21292
0.02046 -2.0 0.21304
0.02071 -2.0 0.21316
0.02096 -2.0 0.21328
0.02121 -2.0 0.21339
0.02146 -2.0 0.2135
0.02171 -2.0 0.21361
0.02196 -2.0 0.21373
0.02221 -2.0 0.21382
0.02246 -2.0 0.21392
0.02271 -2.0 0.21403
0.02296 -2.0 0.21412
0.02321 -2.0 0.21424
0.02346 -2.0 0.21433
0.02371 -2.0 0.21444
0.02396 -2.0 0.21455
0.02496 -2.0 0.21491
0.02595 -2.0 0.21528
0.02695 -2.0 0.21564
0.02795 -2.0 0.21598
0.02895 -2.0 0.2163
0.02995 -2.0 0.21662
0.03094 -2.0 0.21692
0.03194 -2.0 0.21722
0.03294 -2.0 0.2175
0.03394 -2.0 0.21776
0.03494 -2.0 0.21804
0.03594 -2.0 0.21828
0.03693 -2.0 0.21855
0.03793 -2.0 0.21878
0.03893 -2.0 0.21902
0.03993 -2.0 0.21923
0.00499 -1.0 0.21295
0.00599 -1.0 0.21585
0.00699 -1.0 0.21807
0.00799 -1.0 0.21983
0.00898 -1.0 0.22131
0.00998 -1.0 0.22255
0.01098 -1.0 0.22365
0.01198 -1.0 0.2246
0.01298 -1.0 0.22548
0.01398 -1.0 0.22626
0.01497 -1.0 0.22696
0.01597 -1.0 0.22764
0.01697 -1.0 0.22826
0.01797 -1.0 0.22882
0.01897 -1.0 0.22934
0.01997 -1.0 0.22984
0.02021 -1.0 0.22998
0.02046 -1.0 0.23009
0.02071 -1.0 0.23022
0.02096 -1.0 0.23033
0.02121 -1.0 0.23043
0.02146 -1.0 0.23056
0.02171 -1.0 0.23068
0.02196 -1.0 0.23078
0.02221 -1.0 0.23089
0.02246 -1.0 0.231
0.02271 -1.0 0.23109
0.02296 -1.0 0.23121
0.02321 -1.0 0.23131
0.02346 -1.0 0.2314
0.02371 -1.0 0.23152
0.02396 -1.0 0.23161
0.02496 -1.0 0.23198
0.02595 -1.0 0.23235
0.02695 -1.0 0.23271
0.02795 -1.0 0.23306
0.02895 -1.0 0.23337
0.02995 -1.0 0.2337
0.03094 -1.0 0.23399
0.03194 -1.0 0.23428
0.03294 -1.0 0.23455
0.03394 -1.0 0.23484
0.03494 -1.0 0.2351
0.03594 -1.0 0.23534
0.03693 -1.0 0.23559
0.03793 -1.0 0.23585
0.03893 -1.0 0.23607
0.03993 -1.0 0.23631
0.00499 0.0 0.22686
0.00599 0.0 0.22995
0.00699 0.0 0.23226
0.00799 0.0 0.23411
0.00898 0.0 0.2356
0.00998 0.0 0.23689
0.01098 0.0 0.238
0.01198 0.0 0.23901
0.01298 0.0 0.23987
0.01398 0.0 0.24066
0.01497 0.0 0.24139
0.01597 0.0 0.24206
0.01697 0.0 0.24268
0.01797 0.0 0.24324
0.01897 0.0 0.24378
0.01997 0.0 0.2443
0.02021 0.0 0.24442
0.02046 0.0 0.24454
0.02071 0.0 0.24465
